txId,userName,accountId,amount,currency,merchantId,merchantName,deviceId,ipAddress,date,status,isRealFraud
TX-C08118C0,user_2,ACC-126,18.95,MAD,M-005,Casino,DEV-1,192.168.1.14,2024-01-01T00:00:34,COMPLETED,0
TX-4F2BEDD7,user_1,ACC-113,1.0,MAD,M-004,Marjane,DEV-1,192.168.1.9,2024-01-01T02:06:50,COMPLETED,1
TX-927657D9,user_1,ACC-126,40.8,MAD,M-002,Netflix,DEV-1,192.168.1.18,2024-01-01T00:00:07,COMPLETED,0
TX-DFB9695B,user_6,ACC-124,1.0,MAD,M-004,Marjane,DEV-3,192.168.1.14,2024-01-01T02:22:08,COMPLETED,1
TX-68C7004F,user_14,ACC-107,9.99,MAD,M-005,Casino,DEV-10,192.168.1.15,2024-01-01T00:00:10,COMPLETED,0
TX-C0F61925,user_19,ACC-117,1.77,MAD,M-002,Netflix,DEV-7,192.168.1.16,2024-01-01T00:00:26,COMPLETED,0
TX-446298DC,user_6,ACC-102,1.0,MAD,M-003,Jumia,DEV-12,192.168.1.15,2024-01-01T02:28:06,COMPLETED,1
TX-B0ACABF2,user_14,ACC-127,3.79,MAD,M-003,Jumia,DEV-13,192.168.1.18,2024-01-01T04:47:00,COMPLETED,1
TX-6908EA40,user_13,ACC-119,1.0,MAD,M-002,Netflix,DEV-9,192.168.1.7,2024-01-01T05:11:30,COMPLETED,1
TX-AE823320,user_3,ACC-116,21.34,MAD,M-001,Amazon,DEV-8,192.168.1.18,2024-01-01T00:00:34,COMPLETED,0
TX-FF9079A1,user_1,ACC-127,1.0,MAD,M-001,Amazon,DEV-6,192.168.1.16,2024-01-01T03:55:52,COMPLETED,1
TX-8575E047,user_13,ACC-113,41.88,MAD,M-003,Jumia,DEV-2,192.168.1.14,2024-01-01T00:00:23,COMPLETED,0
TX-B4DD36FF,user_13,ACC-112,1.0,MAD,M-003,Jumia,DEV-9,192.168.1.15,2024-01-01T02:27:58,COMPLETED,1
TX-5A068F07,user_2,ACC-130,12.99,MAD,M-002,Netflix,DEV-1,192.168.1.16,2024-01-01T00:00:12,COMPLETED,0
TX-8823BCFB,user_4,ACC-101,93.2,MAD,M-005,Casino,DEV-14,192.168.1.14,2024-01-01T00:00:07,COMPLETED,0
TX-ABFF57CD,user_18,ACC-108,1.0,MAD,M-002,Netflix,DEV-4,192.168.1.14,2024-01-01T03:04:52,COMPLETED,1
TX-5FFEDB4E,user_3,ACC-104,1.0,MAD,M-001,Amazon,DEV-6,192.168.1.17,2024-01-01T03:54:33,COMPLETED,1
TX-9CA437B7,user_4,ACC-121,5.0,MAD,M-004,Marjane,DEV-4,192.168.1.17,2024-01-01T00:00:15,COMPLETED,0
TX-4B962FBB,user_18,ACC-123,1.0,MAD,M-004,Marjane,DEV-1,192.168.1.19,2024-01-01T02:09:00,COMPLETED,1
TX-65378007,user_14,ACC-129,0.89,MAD,M-001,Amazon,DEV-10,192.168.1.12,2024-01-01T00:00:13,COMPLETED,0
TX-B08443C5,user_8,ACC-117,1.0,MAD,M-004,Marjane,DEV-10,192.168.1.18,2024-01-01T02:05:35,COMPLETED,1
TX-3178BCA5,user_3,ACC-100,1.0,MAD,M-003,Jumia,DEV-9,192.168.1.16,2024-01-01T02:20:08,COMPLETED,1
TX-A5FF254D,user_18,ACC-121,16.0,MAD,M-003,Jumia,DEV-9,192.168.1.13,2024-01-01T00:00:23,COMPLETED,0
TX-880DE401,user_14,ACC-104,766.36,MAD,M-003,Jumia,DEV-10,192.168.1.19,2024-01-01T04:57:18,COMPLETED,1
TX-1188A85A,user_9,ACC-109,0.0,MAD,M-001,Amazon,DEV-7,192.168.1.2,2024-01-01T03:21:33,COMPLETED,1
TX-9A833FE5,user_3,ACC-110,6.14,MAD,M-001,Amazon,DEV-13,192.168.1.7,2024-01-01T00:00:26,COMPLETED,0
TX-8D47AE76,user_18,ACC-124,1.0,MAD,M-001,Amazon,DEV-3,192.168.1.18,2024-01-01T02:14:50,COMPLETED,1
TX-752F2E44,user_12,ACC-108,14.8,MAD,M-002,Netflix,DEV-7,192.168.1.7,2024-01-01T00:00:33,COMPLETED,0
TX-D9064F6E,user_12,ACC-106,7.8,MAD,M-005,Casino,DEV-13,192.168.1.7,2024-01-01T00:00:10,COMPLETED,0
TX-697D369F,user_19,ACC-121,4.45,MAD,M-005,Casino,DEV-7,192.168.1.9,2024-01-01T00:00:25,COMPLETED,0
TX-AD1D8CE4,user_3,ACC-110,33.0,MAD,M-004,Marjane,DEV-8,192.168.1.10,2024-01-01T00:00:23,COMPLETED,0
TX-0EB23A92,user_16,ACC-108,26.43,MAD,M-002,Netflix,DEV-9,192.168.1.13,2024-01-01T00:00:22,COMPLETED,0
TX-BAF30EC5,user_1,ACC-112,1.0,MAD,M-005,Casino,DEV-1,192.168.1.2,2024-01-01T02:23:34,COMPLETED,1
TX-5AF4751F,user_19,ACC-127,1.0,MAD,M-004,Marjane,DEV-6,192.168.1.17,2024-01-01T05:29:22,COMPLETED,1
TX-6AFF60EB,user_13,ACC-108,30.39,MAD,M-001,Amazon,DEV-5,192.168.1.1,2024-01-01T03:21:35,COMPLETED,1
TX-6A73DFB1,user_4,ACC-112,239.93,MAD,M-002,Netflix,DEV-2,192.168.1.8,2024-01-01T01:14:22,COMPLETED,1
TX-D1783E28,user_11,ACC-108,1.0,MAD,M-005,Casino,DEV-1,192.168.1.11,2024-01-01T02:20:51,COMPLETED,1
TX-CAE0AD80,user_17,ACC-129,1.0,MAD,M-005,Casino,DEV-7,192.168.1.16,2024-01-01T03:13:49,COMPLETED,1
TX-BC95E88A,user_8,ACC-108,179.66,MAD,M-003,Jumia,DEV-11,192.168.1.14,2024-01-01T03:26:33,COMPLETED,1
TX-86F7D3D1,user_13,ACC-106,1.0,MAD,M-005,Casino,DEV-8,192.168.1.17,2024-01-01T02:05:26,COMPLETED,1
TX-3F41ED3B,user_18,ACC-120,3.68,MAD,M-001,Amazon,DEV-3,192.168.1.4,2024-01-01T00:00:09,COMPLETED,0
TX-A674EF73,user_8,ACC-119,1809.68,MAD,M-005,Casino,DEV-1,192.168.1.3,2024-01-01T02:31:04,COMPLETED,1
TX-417BDEAA,user_16,ACC-115,1.0,MAD,M-002,Netflix,DEV-10,192.168.1.17,2024-01-01T03:42:03,COMPLETED,1
TX-5BDC3F0D,user_5,ACC-130,231.71,MAD,M-001,Amazon,DEV-11,192.168.1.19,2024-01-01T00:00:16,COMPLETED,0
